FirstName,Phone,Notes
Laura Thomas,6665554444,Refund request
James White,5556667777,Product demo request
Megan Harris,3332221111,Change subscription
Andrew Martin,1233211234,Password reset
Olivia Clark,1114447777,Feedback on service
Ethan Lewis,2225558888,Request for callback
Sophia Walker,3336669999,Issue with payment
Benjamin Hall,4447770000,Sales inquiry
Ava Young,5558881111,Cancel subscription
Mason King,6669992222,Update contact details
Isabella Scott,7770003333,Product compatibility

